raw_values,node,time_idx,series,node_values
-0.999,-310.601,487,0,-310.601
1,-309.601,488,0,-309.601
-0.999,-310.6,489,0,-310.6
-0.999,-311.599,490,0,-311.599
1,-310.599,491,0,-310.599
-0.999,-311.598,492,0,-311.598
-0.999,-312.597,493,0,-312.597
-0.999,-313.596,494,0,-313.596
-0.999,-314.595,495,0,-314.595
-0.999,-315.594,496,0,-315.594
-0.999,-316.593,497,0,-316.593
-0.999,-317.592,498,0,-317.592
-0.999,-318.591,499,0,-318.591
-0.999,-319.59,500,0,-319.59
-0.999,-320.589,501,0,-320.589
-0.999,-321.588,502,0,-321.588
-0.999,-322.587,503,0,-322.587
1,-321.587,504,0,-321.587
-0.999,-322.586,505,0,-322.586
1,-321.586,506,0,-321.586
1,-320.586,507,0,-320.586
-0.999,-321.585,508,0,-321.585
-0.999,-322.584,509,0,-322.584
1,-321.584,510,0,-321.584
-0.999,-322.583,511,0,-322.583
-0.999,-323.582,512,0,-323.582
-0.999,-324.581,513,0,-324.581
-0.999,-325.58,514,0,-325.58
-0.999,-326.579,515,0,-326.579
-0.999,-327.578,516,0,-327.578
-0.999,-328.577,517,0,-328.577
-0.999,-329.576,518,0,-329.576
-0.999,-330.575,519,0,-330.575
-0.999,-331.574,520,0,-331.574
-0.999,-332.573,521,0,-332.573
-0.999,-333.572,522,0,-333.572
1,-332.572,523,0,-332.572
-0.999,-333.571,524,0,-333.571
-0.999,-334.57,525,0,-334.57
-0.999,-335.569,526,0,-335.569
-0.999,-336.568,527,0,-336.568
-0.999,-337.567,528,0,-337.567
1,-336.567,529,0,-336.567
-0.999,-337.566,530,0,-337.566
-0.999,-338.565,531,0,-338.565
-0.999,-339.564,532,0,-339.564
1,-338.564,533,0,-338.564
-0.999,-339.563,534,0,-339.563
-0.999,-340.562,535,0,-340.562
1,-339.562,536,0,-339.562
-0.999,-340.561,537,0,-340.561
1,-339.561,538,0,-339.561
-0.999,-340.56,539,0,-340.56
-0.999,-341.559,540,0,-341.559
-0.999,-342.558,541,0,-342.558
1,-341.558,542,0,-341.558
-0.999,-342.557,543,0,-342.557
1,-341.557,544,0,-341.557
-0.999,-342.556,545,0,-342.556
1,-341.556,546,0,-341.556
-0.999,-342.555,547,0,-342.555
1,-341.555,548,0,-341.555
-0.999,-342.554,549,0,-342.554
1,-341.554,550,0,-341.554
